"bag number","empty","full","eu","coarse.or.extra","experiment"
1,2.1414,3.1091,1,"c","pred.div"
2,2.0628,2.0377,1,"e","pred.div"
3,2.0783,2.991,2,"c","pred.div"
4,2.0783,3.0976,4,"c","pred.div"
5,2.1228,3.0263,5,"c","pred.div"
6,2.0895,3.1445,7,"c","pred.div"
7,2.0756,2.0575,7,"e","pred.div"
8,2.0921,3.1191,8,"c","pred.div"
9,2.0449,2.176,8,"e","pred.div"
10,2.0889,,,,
11,2.1134,,,,
12,2.0794,,,,
13,2.0632,,,,
14,2.0204,,,,
15,2.0573,,,,
16,2.029,2.9966,10,"c","pred.div"
17,2.1029,2.1337,10,"e","pred.div"
18,2.0789,2.9675,15,"c","pred.div"
19,2.0528,2.1761,15,"e","pred.div"
20,2.0553,3.0616,3,"c","pred.div"
21,2.1007,2.1216,3,"e","pred.div"
22,2.0368,2.9837,6,"c","pred.div"
23,2.0773,2.1065,6,"e","pred.div"
24,2.0632,3.0616,9,"c","pred.div"
25,2.0713,3.0141,11,"c","pred.div"
26,2.0297,2.9806,12,"c","pred.div"
27,2.0646,2.1166,12,"e","pred.div"
28,2.0928,3.2027,13,"c","pred.div"
29,2.0688,2.1525,13,"e","pred.div"
30,2.0709,3.0665,14,"c","pred.div"
31,2.0359,2.0796,14,"e","pred.div"
32,2.0124,1.9704,"lxl4.1",,"lxl"
33,2.0943,2.0371,"lxl4.2",,"lxl"
34,2.0505,2.0007,"lxl4.3",,"lxl"
35,2.1153,2.074,"lxl4.4",,"lxl"
36,2.0605,2.8008,"lxl4.5",,"lxl"
37,2.059,2.0644,16,"e","pred.div"
38,2.0686,3.0027,16,"c","pred.div"
39,2.0641,2.1193,9,"e","pred.div"
40,"NA","NA",,,
41,2.0897,2.927,"lxl4.6",,"lxl"
42,2.0999,2.4392,"lxl4.7",,"lxl"
43,2.077,2.2319,"lxl4.8",,"lxl"
44,2.1151,2.5883,"lxl4.9",,"lxl"
45,2.0927,2.1579,"lxl4.10",,"lxl"
46,2.1133,2.0982,"lxl4.10",,"lxl"
47,2.1232,2.1644,"lxl4.11",,"lxl"
48,2.1475,2.8693,"lxl4.12",,"lxl"
49,2.077,2.256,"lxl4.14",,"lxl"
50,2.1602,3.2281,"lxl4.13",,"lxl"
51,2.1189,4.184,"lxl4.15",,"lxl"
52,2.1167,2.101,"lxl4.16",,"lxl"
53,2.1454,2.1667,"lxl4.17",,"lxl"
54,2.1082,2.019,"lxl4.18",,"lxl"
55,2.1689,2.3902,"lxl4.19",,"lxl"
56,2.1292,2.5164,"lxl4.20",,"lxl"
57,2.1535,2.9064,"lxl4.top",,"lxl"
58,2.1347,2.1036,"lxl5.1",,"lxl"
59,2.1122,2.2718,"lxl5.2",,"lxl"
60,2.1321,2.0573,"lxl5.3",,"lxl"
61,2.1333,2.0382,"lxl5.4",,"lxl"
62,2.1766,2.115,"lxl5.5",,"lxl"
63,2.157,2.2869,"lxl5.6",,"lxl"
64,2.1249,2.112,"lxl5.7",,"lxl"
65,2.0998,2.1949,"lxl5.8",,"lxl"
66,2.0899,2.324,"lxl5.9",,"lxl"
67,2.1361,2.491,"lxl5.10",,"lxl"
68,2.108,2.1232,"lxl5.11",,"lxl"
69,2.1497,2.1156,"lxl5.12",,"lxl"
70,2.093,2.0141,"lxl5.13",,"lxl"
71,2.1412,2.0549,"lxl5.14",,"lxl"
72,2.1269,2.6207,"lxl5.15",,"lxl"
73,2.1103,3.4621,"lxl6.12",,"lxl"
74,2.14,3.2273,"lxl6.11",,"lxl"
75,2.0637,2.1146,"lxl6.btm",,"lxl"
76,2.111,2.1188,"lxl6.1",,"lxl"
77,2.0831,2.2145,"lxl6.3",,"lxl"
78,2.1143,2.1223,"lxl6.4",,"lxl"
79,2.0766,2.0924,"lxl6.5",,"lxl"
80,2.1259,2.138,"lxl6.6",,"lxl"
81,2.0954,2.4391,"lxl6.7",,"lxl"
82,2.0397,2.142,"lxl6.8",,"lxl"
83,2.1024,2.2969,"lxl6.9",,"lxl"
84,2.0222,3.019,"lxl6.10",,"lxl"
85,2.0742,2.2039,"lxl6.13",,"lxl"
86,2.0526,3.6561,"lxl6.14",,"lxl"
87,2.0698,2.7315,"lxl6.15",,"lxl"
88,2.0288,2.2562,"lxl6.16",,"lxl"
89,2.0398,2.2445,"lxl6.17",,"lxl"
90,2.0011,2.3946,"lxl6.18",,"lxl"
91,2.1053,2.7664,"lxl6.top",,"lxl"
92,2.0525,2.9443,17,"c","pred.div"
93,2.1096,2.152,17,"e","pred.div"
94,2.066,2.9795,18,"c","pred.div"
95,2.1142,2.095,18,"e","pred.div"
96,2.0836,3.0602,19,"c","pred.div"
97,2.0625,2.0693,19,"e","pred.div"
98,2.0248,2.9865,20,"c","pred.div"
99,2.0781,2.0552,20,"e","pred.div"
100,2.0204,2.9678,22,"c","pred.div"
101,2.0794,2.0644,22,"e","pred.div"
102,2.0514,3.0121,23,"c","pred.div"
103,2.1245,2.1519,23,"e","pred.div"
104,2.0613,3.0559,24,"c","pred.div"
105,2.0832,2.1602,24,"e","pred.div"
106,2.0447,2.968,25,"c","pred.div"
107,1.994,2.0157,25,"e","pred.div"
108,2.0649,3.1647,21,"c","pred.div"
109,2.0123,2.1066,21,"e","pred.div"
110,2.0227,3.116,26,"c","pred.div"
111,1.9965,2.1209,26,"e","pred.div"
112,2.0693,2.9868,27,"c","pred.div"
113,2.0153,2.0902,27,"e","pred.div"
114,2.0697,2.9668,29,"c","pred.div"
115,2.0045,2.0345,29,"e","pred.div"
116,2.9858,3.0811,31,"c","pred.div"
117,2.0193,2.0807,31,"e","pred.div"
118,2.0245,3.0965,33,"c","pred.div"
119,2.0507,2.1227,33,"e","pred.div"
120,2.0059,3.1089,32,"c","pred.div"
121,1.9722,1.9668,32,"e","pred.div"
122,1.998,3.0241,28,"c","pred.div"
123,1.8937,2.9905,36,"c","pred.div"
124,2.0294,2.0584,36,"e","pred.div"
125,1.9691,2.0164,28,"e","pred.div"
126,2.0605,3.1395,30,"c","pred.div"
127,1.9615,2.0016,30,"e","pred.div"
128,1.8602,2.8543,35,"c","pred.div"
129,1.9814,1.9973,35,"e","pred.div"
130,1.9842,3.0149,39,"c","pred.div"
131,2.0035,2.9918,34,"c","pred.div"
132,1.998,2.0368,34,"e","pred.div"
133,2.0793,2.9155,37,"c","pred.div"
134,2.0196,3.1298,38,"c","pred.div"
135,2.0481,2.0439,37,"e","pred.div"
136,1.9693,2.0148,38,"e","pred.div"
137,2.0527,2.987,40,"c","pred.div"
138,2.0086,2.0533,40,"e","pred.div"
139,2.0497,2.4857,"lxl7.1",,"lxl"
140,2.0414,2.2006,"lxl7.2",,"lxl"
141,1.9711,2.464,"lxl7.3",,"lxl"
142,2.0514,2.2803,"lxl7.4",,"lxl"
143,1.9791,2.5471,"lxl7.5",,"lxl"
144,1.963,2.3591,"lxl7.6",,"lxl"
145,1.9289,2.4916,"lxl7.8",,"lxl"
146,2.0127,2.3563,"lxl7.7",,"lxl"
147,1.9548,2.0076,"lxl7.9",,"lxl"
148,2.0259,2.501,"lxl7.10",,"lxl"
149,2.0143,2.1865,"lxl7.11",,"lxl"
150,1.9489,2.3476,"lxl7.12",,"lxl"
151,1.9182,2.2881,"lxl7.13",,"lxl"
152,1.9361,2.0686,"lxl7.14",,"lxl"
153,1.9591,2.1173,"lxl7.15",,"lxl"
154,1.9627,2.0941,"lxl7.16",,"lxl"
155,2.0014,2.0607,"lxl7.17",,"lxl"
156,1.9985,2.9977,"lxl7.top",,"lxl"
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
