"eu","treatment","bromeliad","n15.leaves","fine.detritus"
1,"andro",6,31,1
2,"tabanid",9,26,10
3,"tabanid",12,6,18
4,"elong + andro",3,4,33
5,"control",10,11,20
6,"elong + andro",8,40,8
7,"leech",2,22,21
8,"elong + leech",1,3,9
9,"control",15,16,14
10,"elong",7,21,15
11,"elong",11,33,11
12,"andro",13,35,38
13,"elong + leech",4,1,34
14,"leech",16,18,16
15,"elong + tab",5,12,29
16,"elong + tab",14,28,2
17,"andro",33,7,5
18,"elong + andro",23,25,28
19,"tabanid",34,34,17
20,"elong",25,32,6
21,"tabanid",35,37,19
22,"leech",28,8,32
23,"control",17,10,25
24,"elong + leech",39,23,31
25,"elong + tab",21,24,40
26,"control",24,15,24
27,"elong",38,29,4
28,"control",18,9,23
29,"elong + tab",29,39,37
30,"elong + tab",40,30,39
31,"leech",36,5,12
32,"andro",27,2,4
33,"elong + andro",37,27,26
34,"elong",19,14,36
35,"elong + leech",32,19,35
36,"elong + andro",20,13,27
37,"andro",22,17,3
38,"tabanid",31,36,30
39,"elong + leech",26,38,22
40,"leech",30,20,13
